# Peripheral,Mode Name,Signal,Width,Optional,,,,,
# EMAC has derivative mode "RGMII with I2Cx" that is implemented in code
EMAC,RGMII,TX_CLK,,,,,,,
EMAC,RGMII,TX_CTL,,,,,,,
EMAC,RGMII,TXD ,4,,,,,,
EMAC,RGMII,RX_CLK,,,,,,,
EMAC,RGMII,RX_CTL,,,,,,,
EMAC,RGMII,RXD ,4,,,,,,
EMAC,RGMII,MDIO  ,,Yes,,,,,
EMAC,RGMII,MDC   ,,Yes,,,,,
USB,SDR,D,8,,,,,,
USB,SDR,CLK,,,,,,,
USB,SDR,STP,,,,,,,
USB,SDR,DIR,,,,,,,
USB,SDR,NXT,,,,,,,
QSPI,1 SS,CLK,,,,,,,
QSPI,1 SS,IO,1-4,,,,,,
QSPI,1 SS,SS,1,,,,,,
QSPI,2 SS,CLK,,,,,,,
QSPI,2 SS,IO,1-4,,,,,,
QSPI,2 SS,SS,2,,,,,,
QSPI,4 SS,CLK,,,,,,,
QSPI,4 SS,IO,1-4,,,,,,
QSPI,4 SS,SS,4,,,,,,
NAND,ONFI 1.0,ALE,,,,,,,
NAND,ONFI 1.0,CE,,,,,,,
NAND,ONFI 1.0,CLE,,,,,,,
NAND,ONFI 1.0,RE,,,,,,,
NAND,ONFI 1.0,RB,,,,,,,
NAND,ONFI 1.0,DQ,8,,,,,,
NAND,ONFI 1.0,WP,,,,,,,
NAND,ONFI 1.0,WE,,,,,,,
SDIO,1-bit Data,CMD,,,,,,,
SDIO,1-bit Data,CLK,,,,,,,
SDIO,1-bit Data,D,1,,,,,,
SDIO,1-bit Data with PWREN,CMD,,,,,,,
SDIO,1-bit Data with PWREN,CLK,,,,,,,
SDIO,1-bit Data with PWREN,D,1,,,,,,
SDIO,1-bit Data with PWREN,PWREN    ,,Yes,,,,,
SDIO,4-bit Data,CMD,,,,,,,
SDIO,4-bit Data,CLK,,,,,,,
SDIO,4-bit Data,D,4,,,,,,
SDIO,4-bit Data with PWREN,CMD,,,,,,,
SDIO,4-bit Data with PWREN,CLK,,,,,,,
SDIO,4-bit Data with PWREN,D,4,,,,,,
SDIO,4-bit Data with PWREN,PWREN    ,,Yes,,,,,
SDIO,8-bit Data,CMD,,,,,,,
SDIO,8-bit Data,CLK,,,,,,,
SDIO,8-bit Data,D,8,,,,,,
SDIO,8-bit Data with PWREN,CMD,,,,,,,
SDIO,8-bit Data with PWREN,CLK,,,,,,,
SDIO,8-bit Data with PWREN,D,8,,,,,,
SDIO,8-bit Data with PWREN,PWREN    ,,Yes,,,,,
TRACE,HPS,CLK,,,,,,,
TRACE,HPS,D,8,,,,,,
SPIM,Single Slave Select,CLK ,,,,,,,
SPIM,Single Slave Select,MOSI,,,,,,,
SPIM,Single Slave Select,MISO,,,,,,,
SPIM,Single Slave Select,SS,1,,,,,,
SPIM,Dual Slave Selects,CLK ,,,,,,,
SPIM,Dual Slave Selects,MOSI,,,,,,,
SPIM,Dual Slave Selects,MISO,,,,,,,
SPIM,Dual Slave Selects,SS,2,,,,,,
UART,No Flow Control,RX,,,,,,,
UART,No Flow Control,TX,,,,,,,
UART,Flow Control,RX,,,,,,,
UART,Flow Control,TX,,,,,,,
UART,Flow Control,CTS,,,,,,,
UART,Flow Control,RTS,,,,,,,
SPIS,SPI,CLK ,,,,,,,
SPIS,SPI,MOSI,,,,,,,
SPIS,SPI,MISO,,,,,,,
SPIS,SPI,SS0 ,,,,,,,
CAN,CAN,RX,,,,,,,
CAN,CAN,TX,,,,,,,
# I2C has derivative mode "Used with EMACx" that is implemented in code
I2C,I2C,SDA,,,,,,,
I2C,I2C,SCL,,,,,,,
,,,,,,,,,
