Artist,Genera,Album,Track,Time
Arcade Fire,Alt Rock,No Cars Go,01 No Cars Go.mp3,343
Calexico,Alt Rock,Carried To Dust,02 Two Silver Trees.mp3,230
Calexico,Alt Rock,Carried To Dust,08 House of Valparaiso.mp3,167
Calexico,Alt Rock,Carried To Dust,11 El Gatillo - Trigger Revisited.mp3,188
Calexico,Alt Rock,Selections from Road Atlas 1998-2011,15 Crystal Frontier.mp3,261
Carolina Chocolate Drops,Folk,Genuine Negro Jig,06 Snowdens Jig [Genuine Negro Jig].mp3,233
Delerium & Nadina,International,Monarch,01 Monarch.mp3,318
Echo And The Bunnymen,Pop,Songs To Learn And Sing (US Release),08 The Killing Moon.mp3,346
Eilen Jewell,Folk,Letters From Sinners & Strangers,02 Dusty Boxcar Wall.mp3,163
First Aid Kit,Pop,Wolf - Single,01 Wolf (Bonus Track).mp3,220
First Aid Kit,Alt Rock,Ghost Town - Single,02 When I Grow Up.mp3,216
Fleet Foxes,Rock,Fleet Foxes,08 Your Protector.mp3,252
Gillian Welch,Folk,The Harrow & The Harvest,04 The Way It Goes.mp3,242
Jeff Buckley,Pop,So Real: Songs From Jeff Buckley,13 Hallelujah.mp3,415
Kate Miller-Heidke,Pop,Nightflight,10 The Devil Wears A Suit.mp3,286
Kila,Folk,Gamblers' Ballet,02 Electric Landlady.mp3,290
Leftover Cuties,Alt Rock,The Spark & the Fire,02 One Heart.mp3,167
Loreena McKennitt,Pop,The Mask And Mirror,01 The Mystics Dream.mp3,472
Loreena McKennitt,Pop,The Mask And Mirror,02 The Bonny Swans.mp3,451
Loreena McKennitt,Pop,The Mask And Mirror,03 Dark Night Of The Soul.mp3,414
Loreena McKennitt,Pop,The Mask And Mirror,04 Marrakesh Night Market.mp3,399
Loreena McKennitt,Pop,The Mask And Mirror,05 Full Circle.mp3,366
Loreena McKennitt,International,An Ancient Muse,05 Kecharitomene.mp3,405
Loreena McKennitt,Pop,The Mask And Mirror,06 Santiago.mp3,368
Loreena McKennitt,Pop,The Mask And Mirror,07 Ce He Mise Le Ulaingt  The Two Trees.mp3,559
Loreena McKennitt,Pop,The Mask And Mirror,08 Prosperos Speech.mp3,216
Ludovico Einaudi,Classical,Divenire,01 Uno.mp3,228
Ludovico Einaudi,Classical,Divenire,02 Divenire.mp3,402
Ludovico Einaudi,Classical,Divenire,03 Monday.mp3,355
Ludovico Einaudi,Classical,Divenire,04 Andare.mp3,422
Ludovico Einaudi,Classical,Divenire,05 Rose.mp3,256
Ludovico Einaudi,Classical,Divenire,06 Primavera.mp3,444
Ludovico Einaudi,Classical,Divenire,07 Oltremare.mp3,660
Ludovico Einaudi,Classical,Divenire,08 LOrigine Nascosta.mp3,192
Ludovico Einaudi,Classical,Divenire,09 Fly.mp3,279
Ludovico Einaudi,Classical,Divenire,10 Ascolta.mp3,289
Ludovico Einaudi,Classical,Divenire,11 Ritornare.mp3,532
Ludovico Einaudi,Classical,Divenire,12 Svanire.mp3,448
Mich Gerber,International,The Endless String,02 Zumurud.mp3,342
Monsters Of Folk,Alt Rock,Monsters Of Folk,13 Map Of The World.mp3,277
Noir Désir,Pop,Des Visages Des Figures,03 Le Vent Nous Portera.mp3,299
Of Monsters And Men,Soundtracks,The Hunger Games: Catching Fire (Original Motion Picture Soundtrack / Deluxe Version) [+digital booklet],02 Silhouettes (From The Hunger Games Catching Fire Soundtrack).mp3,280
Peter Gabriel,Pop,Passion - Music For The Last Temptation Of Christ [Explicit],01 The Feeling Begins [Explicit].mp3,240
Radical Face,Folk,The Family Tree: The Roots,04 Black Eyes.mp3,284
Robert Rodriguez's Chingon,Rock,Mexican Spaghetti Western (Bonus Edition),02 Malagueña Salerosa.mp3,247
Sarah Blasko,Pop,I Awake,01 I Awake.mp3,212
Sarah Jarosz,Alt Rock,Follow Me Down,01 Run Away.mp3,201
Shook Twins,Folk,Window [Explicit],02 Window (feat The Bucky Walters).mp3,248
Shook Twins,Folk,Window [Explicit],03 Long Time (feat Bridget Law and Lane Exworthy on strings).mp3,197
Shook Twins,Folk,Window [Explicit],04 Ting Ting (feat Bonnie Paine on vocalswashboard and Bridget Law .mp3,268
Shook Twins,Folk,Window [Explicit],06 Shine On.mp3,232
Shook Twins,Folk,Window [Explicit],08 Rose.mp3,178
Shook Twins,Folk,Window [Explicit],09 Potters Daughter (feat Joey Goforth on Banjo).mp3,167
Shook Twins,Folk,Window [Explicit],10 Growing Things (feat the Bucky Walters).mp3,245
Shook Twins,Folk,Window [Explicit],11 Skin and Bone (feat Bridget Law and Lane Exworthy on strings Bon.mp3,298
Shook Twins,Folk,Window [Explicit],12 Way To Wake.mp3,403
Sivert Höyem,Rock,Moon Landing,14 The House Of The Rising Sun.mp3,250
Sivert Høyem,Rock,"Autumn In Arcadia - Sivert Höyem,  Live",01 Prisoner Of The Road.mp3,241
Sivert Høyem,Rock,Endless Love,05 Free as a Bird  Chained to the Sky.mp3,153
Sivert Høyem,Rock,Long Slow Distance [+Digital Booklet],08 Blown Away.mp3,207
Sting,Pop,Ten Summoner's Tales,09 Shape Of My Heart.mp3,287
The Audreys,Pop,Between Last Night and Us,03 Oh Honey.mp3,269
The Church,Rock,Under The Milky Way,11 Under The Milky Way.mp3,300
The Heavy,Rock,The House That Dirt Built,05 Short Change Hero.mp3,322
The Heavy,Rock,The House That Dirt Built,07 Long Way From Home.mp3,199
They Might Be Giants,Alt Rock,Flood,04 Istanbul.mp3,154
Trevor Jones,Soundtracks,The Last Of The Mohicans,03 The Kiss.mp3,181
Tune Robbers,Pop,Tune Robbers Playing the Hits of Caro Emerald,11 I Know That Hes Mine.mp3,256
Vast,Alt Rock,Turquoise & Crimson,01 Dead Angels.mp3,206
