Meter S/N:, 0632B14R
Sensor, THERMO, SINGLE, ENB065
Date, 8/1/2014 2:11:13 PM
Units, W
Cursor, 0.0000688, 0.0002432, 79.43109894, 3.85046148
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
0.0000688, 0.400275468826294, 43, 0, 0, 0
0.0000704, 0.637475788593292, 44, 0, 0, 0
0.0000720, 1.24125826358795, 45, 0, 0, 0
0.0000736, 0.960930705070496, 46, 0, 0, 0
0.0000752, 1.6078405380249, 47, 0, 0, 0
0.0000768, 1.2628219127655, 48, 0, 0, 0
0.0000784, 0.853112399578094, 49, 0, 0, 0
0.0000800, 92.9515151977539, 50, 1, TriggerDetected, 0
0.0000816, 2415.724609375, 51, 0, 0, 0
0.0000832, 3272.68603515625, 52, 0, 0, 0
0.0000848, 2793.82177734375, 53, 0, 0, 0
0.0000864, 3141.79467773438, 54, 0, 0, 0
0.0000880, 3472.21459960938, 55, 0, 0, 0
0.0000896, 3269.77490234375, 56, 0, 0, 0
0.0000911, 3402.9736328125, 57, 0, 0, 0
0.0000928, 3612.70190429688, 58, 0, 0, 0
0.0000944, 3392.55834960938, 59, 0, 0, 0
0.0000960, 3466.93139648438, 60, 0, 0, 0
0.0000976, 3580.55053710938, 61, 0, 0, 0
0.0000992, 3469.54077148438, 62, 0, 0, 0
0.0001008, 3494.98583984375, 63, 0, 0, 0
0.0001024, 3601.55346679688, 64, 0, 0, 0
0.0001040, 3563.88159179688, 65, 0, 0, 0
0.0001056, 3510.533203125, 66, 0, 0, 0
0.0001072, 3564.22680664063, 67, 0, 0, 0
0.0001088, 3565.84399414063, 68, 0, 0, 0
0.0001104, 3494.080078125, 69, 0, 0, 0
0.0001120, 3559.9140625, 70, 0, 0, 0
0.0001136, 3620.11962890625, 71, 0, 0, 0
0.0001152, 3491.923828125, 72, 0, 0, 0
0.0001168, 3476.548828125, 73, 0, 0, 0
0.0001184, 3518.40405273438, 74, 0, 0, 0
0.0001200, 3594.76098632813, 75, 0, 0, 0
0.0001216, 3550.23193359375, 76, 0, 0, 0
0.0001232, 3532.13989257813, 77, 0, 0, 0
0.0001248, 3617.79077148438, 78, 0, 0, 0
0.0001264, 3558.5986328125, 79, 0, 0, 0
0.0001280, 3525.62768554688, 80, 0, 0, 0
0.0001296, 3548.18334960938, 81, 0, 0, 0
0.0001312, 3550.6416015625, 82, 0, 0, 0
0.0001328, 3476.57055664063, 83, 0, 0, 0
0.0001343, 3612.20581054688, 84, 0, 0, 0
0.0001360, 3630.53491210938, 85, 0, 0, 0
0.0001376, 3258.79907226563, 86, 0, 0, 0
0.0001392, 3453.26000976563, 87, 0, 0, 0
0.0001408, 3736.90844726563, 88, 0, 0, 0
0.0001424, 3448.6669921875, 89, 0, 0, 0
0.0001440, 3352.53637695313, 90, 0, 0, 0
0.0001455, 3407.63134765625, 91, 0, 0, 0
0.0001472, 3670.27685546875, 92, 0, 0, 0
0.0001488, 3447.52416992188, 93, 0, 0, 0
0.0001504, 3348.84887695313, 94, 0, 0, 0
0.0001520, 3630.49194335938, 95, 0, 0, 0
0.0001536, 3544, 96, 0, 0, 0
0.0001552, 3407.63134765625, 97, 0, 0, 0
0.0001568, 3558.29663085938, 98, 0, 0, 0
0.0001584, 3601.18676757813, 99, 0, 0, 0
0.0001600, 3398.79028320313, 100, 0, 0, 0
0.0001616, 3455.76147460938, 101, 0, 0, 0
0.0001632, 3605.068359375, 102, 0, 0, 0
0.0001648, 3439.22216796875, 103, 0, 0, 0
0.0001664, 3495.9345703125, 104, 0, 0, 0
0.0001680, 3535.26684570313, 105, 0, 0, 0
0.0001696, 3451.90161132813, 106, 0, 0, 0
0.0001711, 3360.88134765625, 107, 0, 0, 0
0.0001728, 3604.68017578125, 108, 0, 0, 0
0.0001744, 3470.48950195313, 109, 0, 0, 0
0.0001760, 3237.27856445313, 110, 0, 0, 0
0.0001776, 3420.61279296875, 111, 0, 0, 0
0.0001792, 3702.98901367188, 112, 0, 0, 0
0.0001808, 3421.69091796875, 113, 0, 0, 0
0.0001823, 3194.58251953125, 114, 0, 0, 0
0.0001840, 3440.7099609375, 115, 0, 0, 0
0.0001856, 3608.92822265625, 116, 0, 0, 0
0.0001872, 3452.3974609375, 117, 0, 0, 0
0.0001888, 3100.45703125, 118, 0, 0, 0
0.0001904, 3295.82373046875, 119, 0, 0, 0
0.0001920, 3425.7880859375, 120, 0, 0, 0
0.0001936, 3252.6103515625, 121, 0, 0, 0
0.0001952, 2983.53881835938, 122, 0, 0, 0
0.0001968, 2643.00561523438, 123, 0, 0, 0
0.0001984, 2452.921875, 124, 0, 0, 0
0.0002000, 2435.412109375, 125, 0, 0, 0
0.0002016, 2636.06201171875, 126, 0, 0, 0
0.0002032, 2385.10400390625, 127, 0, 0, 0
0.0002048, 1680.48986816406, 128, 0, 0, 0
0.0002064, 1244.32165527344, 129, 0, 0, 0
0.0002080, 997.87060546875, 130, 0, 0, 0
0.0002096, 745.985473632813, 131, 0, 0, 0
0.0002112, 564.872253417969, 132, 0, 0, 0
0.0002128, 453.150939941406, 133, 0, 0, 0
0.0002144, 372.783172607422, 134, 0, 0, 0
0.0002160, 311.154205322266, 135, 0, 0, 0
0.0002176, 263.821960449219, 136, 0, 0, 0
0.0002192, 225.395523071289, 137, 0, 0, 0
0.0002208, 194.279159545898, 138, 0, 0, 0
0.0002224, 169.179061889648, 139, 0, 0, 0
0.0002240, 148.58576965332, 140, 0, 0, 0
0.0002256, 130.903564453125, 141, 0, 0, 0
0.0002272, 116.520599365234, 142, 0, 0, 0
0.0002288, 104.962471008301, 143, 0, 0, 0
0.0002304, 95.5607147216797, 144, 0, 0, 0
0.0002320, 87.711540222168, 145, 0, 0, 0
0.0002336, 79.4310989379883, 146, 0, 0, 0
0.0002352, 73.6951599121094, 147, 0, 0, 0
0.0002368, 68.6708297729492, 148, 0, 0, 0
0.0002384, 65.0265731811523, 149, 0, 0, 0
0.0002400, 61.0588569641113, 150, 0, 0, 0
0.0002416, 57.5439796447754, 151, 0, 0, 0
0.0002432, 54.3525581359863, 152, 0, 0, 0
